Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Brass wire","Yo clean my soldering iron",1,1.78,"https://a.aliexpress.com/_msrrakZ","Aliexpress "
"Soldering helping hand","To help hold small items while soldering ",1,5.98,"https://a.aliexpress.com/_mqU3VNJelping","Aliexpress "
"Solder ","To keep stuff in place",1,3.22,"https://a.aliexpress.com/_mNisFKp","Aliexpress "
"3d print","to house everything",1,0.00,"https://github.com/Randomcoder323/MAcro-PAd/tree/main/CAD","ME"
"PCB","To hold and wire all the components",5,5.30,"https://JLCPCB.com","JLCPCB"
"m2 screws ","To hold the case with the threaded inserts",4,2.17,"https://www.aliexpress.us/item/3256808523663879.html?spm=a2g0o.productlist.main.1.46cc4114Zaj44p&algo_pvid=f9a8eef8-eafc-4dd6-9377-f28c1f98e0da&algo_exp_id=f9a8eef8-eafc-4dd6-9377-f28c1f98e0da-0&pdp_ext_f=%7B%22order%22%3A%2210383%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.65%211.65%21%21%2111.22%2111.22%21%4021030a6217757827562295715eaace%2112000046342342830%21sea%21US%217166773172%21X%211%210%21n_tag%3A-29919%3Bd%3A3060d758%3Bm03_new_user%3A-29895&curPageLogUid=lxh7xH9lYPru&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008709978631%7C_p_origin_prod%3A","Aliexpress"
"M2 heat inserts 30pc M2xL2xOD3","To hold the case",4,3.16,"https://www.aliexpress.us/item/3256805885174058.html?spm=a2g0o.productlist.main.2.4bc613586pfYyP&algo_pvid=5e2e3466-aad7-4f79-aacd-71688ea7c60e&algo_exp_id=5e2e3466-aad7-4f79-aacd-71688ea7c60e-1&pdp_ext_f=%7B%22order%22%3A%2221769%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.58%212.58%21%21%2117.51%2117.51%21%402101c44f17757826200383885ef7a4%2112000035595774900%21sea%21US%217166773172%21X%211%210%21n_tag%3A-29919%3Bd%3A3060d758%3Bm03_new_user%3A-29895&curPageLogUid=IiNd4RPYP33V&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006071488810%7C_p_origin_prod%3A","aliexpress"
"RP2040 Zero","Microcontroller to control the macro pad",1,2.76,"https://www.aliexpress.com/item/3256810343755065.html?spm=a2g0o.cart.0.0.155438dasDDmdF&mp=1&pdp_npi=6%40dis%21USD%21USD%205.53%21USD%202.76%21%21USD%202.43%21%21%21%402101e80317757818905318236ef4ad%2112000052713684938%21ct%21US%217166773172%21%211%210%21","aliexpress"
"Mx cherry switches ","to type",16,5.78,"https://www.aliexpress.com/item/3256810491600900.html?spm=a2g0o.cart.0.0.155438dasDDmdF&mp=1&pdp_npi=6%40dis%21USD%21USD%206.09%21USD%202.89%21%21USD%202.57%21%21%21%402101e80317757818905318236ef4ad%2112000053164128840%21ct%21US%217166773172%21%212%210%21","aliexpress"
"1.3 TFT LCD Display","Too add time widget etc",1,3.90,"https://www.aliexpress.com/item/3256807859088652.html?spm=a2g0o.cart.0.0.155438dasDDmdF&mp=1&pdp_npi=6%40dis%21USD%21USD%203.90%21USD%203.90%21%21USD%203.50%21%21%21%402101e80317757818905318236ef4ad%2112000043411859569%21ct%21US%217166773172%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D","Aliexpress"
"Sk6812 Mini e LEDs","For rgb lights",16,3.72,"https://www.aliexpress.com/item/3256806790790289.html?spm=a2g0o.cart.0.0.155438dasDDmdF&mp=1&pdp_npi=6%40dis%21USD%21USD%203.73%21USD%203.73%21%21USD%203.18%21%21%21%402101e80317757818905318236ef4ad%2112000038915871999%21ct%21US%217166773172%21%211%210%21","Aliexpress"
" Mx cherry keycaps","To type",16,3.83,"https://www.aliexpress.com/item/3256810359094598.html?spm=a2g0o.cart.0.0.155438dasDDmdF&mp=1&pdp_npi=6%40dis%21USD%21USD%203.83%21USD%203.83%21%21USD%203.44%21%21%21%402101e80317757818905318236ef4ad%2112000052767672803%21ct%21US%217166773172%21%211%210%21","Aliexpress"
